LIBRARY	library
TEST_OK1	बधाई हो, आपने यह कार्य सफलतापूर्वक पूरा कर लिया है.
TEST_FAILED	परीक्षा अनुउत्तीर्ण
TEST_FAILED1	चूंकि आपने हमारे द्वारा अनुशंसित संभावित अधिकतम स्कोर का @{res_mastery_percent}% प्राप्त किया है, जो एक बार फिर से आपको इस परिक्षण पाठ्यक्रम द्वारा कवर की गई सामग्री पर ले जाता है और परीक्षण मोड में फिर से आपके ज्ञान का परीक्षा लेता है.
TEST_FINISHED	यह परीक्षा केवल आपके स्व-मूल्यांकन के लिए थी. परिणाम रिकॉर्ड या तृतीय पक्षों को प्रेषित नहीं किए जाएंगे.
TEST_SCORE	स्कोर
TEST_SCOREVALUE	@{res_collected_points} इसका @{res_possible_points}
FREEPRESENTATION_START	मुक्त प्रस्तुतिकरण मोड
FREEPRESENTATION_START1	मुक्त प्रस्तुतीकरण मोड अपने अनुकूलन के भीतर प्रक्रिया निष्पदन को अनुमति देता है.
FREEPRESENTATION_START2	कार्रवाई चरण-दर-चरण निष्पादित करें. सहायता प्राप्त करने के लिए F1 कुंजी का उपयोग करें.
FREEPRESENTATION_STOP	मुक्त प्रस्तुतीकरण समाप्त किया गया है.
GUIDEDPRESENTATION_START	निर्देशित प्रस्तुतिकरण मोड
GUIDEDPRESENTATION_START1	निर्देशित प्रतिनिधित्तव मोड स्वाचालित रूप से अनुरूपण के भीतर प्रक्रिया निष्पादित करता है. एक माउस सूचक और हाइलाइट प्रदर्शन वर्तमान चरण.
GUIDEDPRESENTATION_START2	कार्रवाई चरण-दर-चरण का पालन करें और प्रत्येक कार्रवाई के बाद में पुष्टि करें.
GUIDEDPRESENTATION_STOP	निर्देशित प्रस्तुतिकरण समाप्त किया गया.
EXER_FAIL1	आपके द्वारा की गई कार्रवाई गलत थी.
EXER_FAIL2	आपके द्वारा किया गया कार्य गलत है. आपके संपूर्ण स्कोर से 1 बिंदु का पता लगाया जा रहा है. इस कार्य के लिए बाएं इंगित करता है: @1_rest-points_.
EXER_FAIL3	आपके द्वारा किया गया कार्य गलत है. आपके संपूर्ण स्कोर से प्रत्येक गलती के लिए 1 बिंदु का पता लगाया जा रहा है. इस कार्य के लिए बाएं इंगित करता है: @1_rest-points_.
EXER_FAILKEY1	आपने @1_key_ कुंजी दबाई है.
EXER_FAILKEY2	उपयोग किए जाने योग्य फ़ंक्शन कुंजियां यह हैं: @1_keys_.
EXER_FAILRADIO	सभी मान्य बटन हाइलाइट किए गए हैं.
EXER_FAILINPUT	सभी मान्य टेक्सट क्षेत्र हाइलाइट किए गए हैं.
EXER_FAILSELECT	सभी मान्य चयन बॉक्स हाइलाइट किए गए हैं.
EXER_FAILDRAG	आपने अमान्य @1_keys_ डबल क्लिक किया है.
EXER_FAILDRAG1	कृपया हाइलाइट किए गए क्षेत्र के अंतर्गत @1_keys_ खींचे संचालन निष्पादित करें.
EXER_FAILDROP	आपने अमान्य @1_keys_ छोड़ें संचालन निष्पादित किया है.
EXER_FAILDROP1	कृपया हाइलाइट किए गए क्षेत्र के अंतर्गत @1_keys_ छोड़ें संचालन निष्पादित करें.
EXER_FAILDBLCLICK	आपने अमान्य @1_keys_ डबल क्लिक किया है.
EXER_FAILDBLCLICK1	कृपया हाइलाइट किए गए क्षेत्र के अंतर्गत @1_keys_ पर क्लिक करें.
EXER_FAILCLICK	आपने @1_keys_ एक अमान्य क्षेत्र पर क्लिक किया है.
EXER_FAILCLICK1	सभी मान्य क्षेत्र हाइलाइट किए गए हैं.
EXER_FAILCLICK2	आपने अमान्य @1_keys_ क्लिक किया है.
EXER_FAILCLICK3	कृपया हाइलाइट किए गए क्षेत्र के अंतर्गत @1_keys_ पर क्लिक करें.
EXER_FAILENTER	आपने अमान्य @1_keys_ माउस ओवर निष्पादित किया है.
EXER_FAILENTER1	कृपया हाइलाइट किए गए क्षेत्र के अंतर्गत @1_keys_ माउस ओवर निष्पादित करें.
EXER_FAILMCLICK	@1_keys_ मिडल-क्लिक अनुमत नहीं है.
EXER_WOULDGOON	(नोट: अन्यथा स्वचालित रूप से जारी हो जाता है)
EXER_YOURINPUT	आपने "@1_input_" दर्ज किया है.
EXER_TEXTINPUT	कृपया इनपुट फ़ील्ड "@2" में "@1" दर्ज करें!
EXER_SELECT	कृपया प्रविष्टि "@1" का चयन करें!
EXER_GOON	अगले चरण पर जाएं
EXER_SHOWHELP	हां, सहायता दिखाएं
EXER_TRYAGAIN	पुनः प्रयास करें
EXER_ASK4HELP	क्या आपको सहायता चाहिए?
EXER_ONLY_VALID	अनुमत कार्रवाइयां निम्न हैं:
EXER_FORM_PREFIX	निम्न मान दर्ज करें:
EXER_OR	या
EXER_AND	और
SCORE	पॉइंट
SCORE_REDUCED	इस चरण के लिए संभावित पॉइंट इस तक कम किए गए
TOUR_START	अनुरूपण प्रारंभ करें
TOUR_STOP	अनुरूपण निरस्त करें
TOUR_END	अनुरूपण समाप्ति
TOUR_PLAY	जारी बटन
TOUR_JUMP	अनुरूपण के अंतर्गत सीधे किसी अन्य चरण पर जाएं.
TOUR_PREV	पिछला
TOUR_NEXT	अगला
USER_ACTION_CORRECT_ACTION	शिक्षार्थी ने सफलतापूर्वक चरण पूरा किया.
USER_ACTION_WRONG_ACTION	शिक्षार्थी ने एक गलती की.
USER_ACTION_GOON	शिक्षार्थी ने "जारी रखें", पर क्लिक किया, इस चरण के लिए पॉइंट नहीं.
USER_ACTION_GOON_AUTO	गलतियों की मात्रा के कारण, अनुरूपण स्वचालित रूप से जारी रहा.
USER_ACTION_HELP	शिक्षार्थी ने सहायता के लिए कहा, इस चरण के लिए कोई पॉइंट नहीं.
SLIDE_USER_ACTION_TEXTBOX_OPEN	शिक्षार्थी ने कोई टेक्स्ट बॉक्स बंद किया:
SLIDE_USER_ACTION_TEXTBOX_CLOSE	शिक्षार्थी ने कोई टेक्स्ट बॉक्स बंद किया:
QUIZ_CORRECT_RESPONSE	सही प्रतिसाद
QUIZ_STUDENT_RESPONSE	शिक्षार्थी का उत्तर
QUIZ_LATENCY	समय
QUIZ_SCORE	प्राप्त स्कोर
QUIZ_REQ_SCORE	आवश्यक स्कोर
QUIZ_MAX_SCORE	अधिकतम स्कोर
QUIZ_TIMEOUT_REACHED	टाइमआउट हो गया
QUIZTYPE_MCHOICE	क्विज़: एकाधिक विकल्प
QUIZTYPE_SQMAQUIZ	क्विज़: फ़ील्ड भरें
QUIZTYPE_FIBQUIZ	क्विज़: रिक्तियां भरें
QUIZTYPE_MATCHQUIZ	क्विज़: मिलान
QUIZTYPE_CONNQUIZ	क्विज़: कनेक्शन
QUIZTYPE_SCALEQUIZ	क्विज़: स्लाइड नियंत्रण
QUIZTYPE_GRIDQUIZ	क्विज़: ग्रिड
QUIZTYPE_HOTSPOTQUIZ	क्विज़: हॉटस्पॉट
QUIZTYPE_PUZZLEQUIZ	क्विज़: पहेली
QUIZTYPE_MIXQUIZ	क्विज़: अनुक्रमन
CONNECTING	कनेक्ट कर रहा है...
SYNCHRONIZE	सिंक्रनाइज़ करें
SYNCHRONIZED	सिंक्रनाइज़ करें
CONNECT	कनेक्ट करें
BUBBLESTYLE_NOT_FOUND	बबल शैली नहीं मिली.
LOADING_MACROSET	सामग्री और संसाधन लोड हो रहे हैं.
ZOOM_LEVEL_NOTIFICATION	चेतावनी: आपका ज़ूम स्तर 100 से भिन्न है%.
ctx_html.header_title	प्रसंग सहायता
ctx_html.introtext	निम्न सहायता सामग्रियां वर्तमान प्रसंग के लिए उपलब्ध हैं. वह आइटम क्लिक करें, जिसे आप प्रारंभ करना चाहते हैं.
ctx_html.introtext_noresult	वर्तमान प्रसंग के लिए कोई सामग्री उपलब्ध नहीं. शीर्षलेख से लाइब्रेरी खोलें या अतिरिक्त सामग्री प्राप्त करने के लिए खोज का उपयोग करें.
ctx_html.query_empty	क्वेरी रिक्त.
ctx_html.query_malformed	क्वेरी अमान्य.
ctx_html.search	खोजें
ctx_html.library	लाइब्रेरी खोलें
ctx_html.language	भाषा
qr_hint_dlg.IDC_QR_HINT_DLG_CAPTION	रिकॉर्डिंग
qr_hint_dlg.dont_bother	पुनः न दिखाएं
qr_hint_dlg.hint_end	रिकॉर्डिंग समाप्त करें.
qr_hint_dlg.hint_pause	रिकॉर्डिंग रोकें.
btnOk	धन्यवाद
qr_hint_dlg.hint_title	रिकॉर्डिंग संकेत
qr_hint_dlg.audio_help	नियंत्रण चयन से पहले अपना टेक्स्ट रिकॉर्ड करें.
quiz_error_no_template_file	त्रुटि: टेम्पलेट फ़ाइल नहीं मिली. डिफ़ॉल्ट का उपयोग किया जाएगा.
qr_hint_dlg.hint_end_1	END कुंजी
qr_hint_dlg.hint_pause_1	PAUSE कुंजी
