LIBRARY	library
EXER_FAILRADIO	Minden érvényes gomb ki van emelve.
EXER_FAILINPUT	Minden érvényes szövegterület ki van emelve.
EXER_FAILSELECT	Minden érvényes jelölőmező ki van emelve.
EXER_FAILDRAG	A(z) @1_keys_ húzási művelet érvénytelen volt.
EXER_FAILDRAG1	Hajtson végre @1_keys_ húzási műveletet a kiemelt területen.
EXER_FAILDROP	A(z) @1_keys_ ejtési művelet érvénytelen volt.
EXER_FAILDROP1	Hajtson végre @1_keys_ ejtési műveletet a kiemelt területen.
EXER_FAILDBLCLICK	A(z) @1_keys_ dupla kattintás érvénytelen volt.
EXER_FAILDBLCLICK1	Hajtson végre @1_keys_ dupla kattintást a kiemelt területen.
EXER_FAILCLICK	A(z) @1_keys_ kattintás érvénytelen területen történt.
EXER_FAILCLICK1	Minden érvényes terület ki van emelve.
EXER_FAILCLICK2	A(z) @1_keys_ kattintás érvénytelen volt.
EXER_FAILCLICK3	Hajtson végre @1_keys_ kattintást a kiemelt területen.
EXER_FAILENTER	A(z) @1_keys_ rámutatás érvénytelen volt.
EXER_FAILENTER1	Hajtson végre @1_keys_ rámutatást a kiemelt területen.
EXER_FAILMCLICK	@1_keys_ középső gombbal való kattintás nem engedélyezett.
EXER_WOULDGOON	(Megjegyzés: egyébként automatikusan folytatódik)
EXER_YOURINPUT	A következőt adta meg: "@1_input_".
EXER_TEXTINPUT	Írja be a(z) "@1" értéket a(z) "@2" adatbeviteli mezőbe!
EXER_SELECT	Válassza ki a(z) "@1" bejegyzést!
EXER_GOON	Tovább a következő lépésre
EXER_SHOWHELP	Igen, jelenjen meg segítség
EXER_TRYAGAIN	Próbálja újra
EXER_ASK4HELP	Segítségre van szüksége?
EXER_ONLY_VALID	Megengedett műveletek:
EXER_FORM_PREFIX	Írja be a következő értékeket:
EXER_OR	vagy
EXER_AND	és
SCORE	Pontok
SCORE_REDUCED	A lépésre kapható pontszám ennyire csökkent:
TOUR_START	Szimuláció indítása
TOUR_STOP	Szimuláció megszakítása
TOUR_END	Szimuláció vége
TOUR_PLAY	Folytatás gomb
TOUR_JUMP	A szimuláció másik lépéséhez ugrott.
TOUR_PREV	Vissza
TOUR_NEXT	Következő
USER_ACTION_CORRECT_ACTION	A tanuló sikeresen végrehajtotta a lépést.
USER_ACTION_WRONG_ACTION	A tanuló hibát követett el.
USER_ACTION_GOON	A tanuló a Folytatás gombra kattintott, ezért a lépésért nem jár pont.
USER_ACTION_GOON_AUTO	A hibák száma miatt a szimuláció automatikusan folytatódott.
USER_ACTION_HELP	A tanuló segítséget kért, ezért a lépésért nem jár pont.
SLIDE_USER_ACTION_TEXTBOX_OPEN	A tanuló megnyitott egy szövegdobozt.
SLIDE_USER_ACTION_TEXTBOX_CLOSE	A tanuló bezárt egy szövegdobozt.
QUIZ_CORRECT_RESPONSE	Helyes válasz
QUIZ_STUDENT_RESPONSE	A tanuló válasza
QUIZ_LATENCY	Időpont
QUIZ_SCORE	Elért pontszám
QUIZ_REQ_SCORE	Szükséges pontszám
QUIZ_MAX_SCORE	Maximális pontszám
QUIZ_TIMEOUT_REACHED	Időtúllépés
QUIZTYPE_MCHOICE	Kvíz: feleletválasztás
QUIZTYPE_SQMAQUIZ	Kvíz: mezők kitöltése
QUIZTYPE_FIBQUIZ	Kvíz: üres helyek kitöltése
QUIZTYPE_MATCHQUIZ	Kvíz: párosítás
QUIZTYPE_CONNQUIZ	Kvíz: összekapcsolás
QUIZTYPE_SCALEQUIZ	Kvíz: csúszkavezérlő
QUIZTYPE_GRIDQUIZ	Kvíz: rács
QUIZTYPE_HOTSPOTQUIZ	Kvíz: hotspot
QUIZTYPE_PUZZLEQUIZ	Kvíz: kirakójáték
QUIZTYPE_MIXQUIZ	Kvíz: rendezés
CONNECTING	Kapcsolódás...
SYNCHRONIZE	Szinkronizálás
SYNCHRONIZED	Szinkronizálva
CONNECT	Kapcsolódás
BUBBLESTYLE_NOT_FOUND	A buborékstílus nem található.
LOADING_MACROSET	Tartalom és erőforrások betöltése.
ZOOM_LEVEL_NOTIFICATION	Figyelem: A nagyítás nem 100%.
ctx_html.header_title	Kontextusfüggő súgó
ctx_html.introtext	A következő súgótartalom érhető el az aktuális kontextushoz. Kattintson az elindítani kívánt elemre.
ctx_html.introtext_noresult	Nincs elérhető tartalom az aktuális kontextushoz. Nyissa meg a libraryt a fejlécből, vagy keressen további tartalmat a keresőfunkcióval.
ctx_html.query_empty	Üres query.
ctx_html.query_malformed	A query érvénytelen.
ctx_html.search	Keresés
ctx_html.library	library megnyitása
ctx_html.language	Nyelv
qr_hint_dlg.IDC_QR_HINT_DLG_CAPTION	Felvétel
qr_hint_dlg.dont_bother	Ne jelenjen meg újra
qr_hint_dlg.hint_end	A felvétel befejezése.
qr_hint_dlg.hint_pause	A felvétel szüneteltetése.
btnOk	Köszönjük!
qr_hint_dlg.hint_title	Felvételi tippek
qr_hint_dlg.audio_help	Vezérlőelem kiválasztása előtt vegye fel a szöveget.
quiz_error_no_template_file	Hiba: A sablon nem található. Az alapértelmezett lesz használva.
qr_hint_dlg.hint_end_1	END billentyű
qr_hint_dlg.hint_pause_1	PAUSE billentyű
